0.0000,0.5000
0.1000,0.5499
0.2000,0.5993
0.3000,0.6478
0.4000,0.6947
0.5000,0.7397
0.6000,0.7823
0.7000,0.8221
0.8000,0.8587
0.9000,0.8917
1.0000,0.9207
1.1000,0.9456
1.2000,0.9660
1.3000,0.9818
1.4000,0.9927
1.5000,0.9987
1.6000,0.9998
1.7000,0.9958
1.8000,0.9869
1.9000,0.9732
2.0000,0.9546
2.1000,0.9316
2.2000,0.9042
2.3000,0.8729
2.4000,0.8377
2.5000,0.7992
2.6000,0.7578
2.7000,0.7137
2.8000,0.6675
2.9000,0.6196
3.0000,0.5706
3.1000,0.5208
3.2000,0.4708
3.3000,0.4211
3.4000,0.3722
3.5000,0.3246
3.6000,0.2787
3.7000,0.2351
3.8000,0.1941
3.9000,0.1561
4.0000,0.1216
4.1000,0.0909
4.2000,0.0642
4.3000,0.0419
4.4000,0.0242
4.5000,0.0112
4.6000,0.0032
4.7000,0.0000
4.8000,0.0019
4.9000,0.0088
5.0000,0.0205
5.1000,0.0371
5.2000,0.0583
5.3000,0.0839
5.4000,0.1136
5.5000,0.1472
5.6000,0.1844
5.7000,0.2247
5.8000,0.2677
5.9000,0.3131
6.0000,0.3603
6.1000,0.4089
6.2000,0.4585
6.3000,0.5084
6.4000,0.5583
6.5000,0.6076
6.6000,0.6558
6.7000,0.7024
6.8000,0.7471
6.9000,0.7892
7.0000,0.8285
7.1000,0.8645
7.2000,0.8968
7.3000,0.9252
7.4000,0.9494
7.5000,0.9690
7.6000,0.9840
7.7000,0.9941
7.8000,0.9993
7.9000,0.9995
8.0000,0.9947
8.1000,0.9849
8.2000,0.9704
8.3000,0.9511
8.4000,0.9273
8.5000,0.8992
8.6000,0.8672
8.7000,0.8315
8.8000,0.7925
8.9000,0.7505
9.0000,0.7061
9.1000,0.6595
9.2000,0.6114
9.3000,0.5622
9.4000,0.5124
9.5000,0.4624
9.6000,0.4128
9.7000,0.3641
9.8000,0.3168
9.9000,0.2712
10.0000,0.2280
10.1000,0.1875
10.2000,0.1501
10.3000,0.1162
10.4000,0.0861
10.5000,0.0602
10.6000,0.0386
10.7000,0.0217
10.8000,0.0095
10.9000,0.0023
11.0000,0.0000
11.1000,0.0027
11.2000,0.0104
11.3000,0.0230
11.4000,0.0403
11.5000,0.0623
11.6000,0.0886
11.7000,0.1190
11.8000,0.1532
11.9000,0.1909
12.0000,0.2317
12.1000,0.2752
12.2000,0.3209
12.3000,0.3684
12.4000,0.4172
12.5000,0.4668
